"Date","first_purchase_os_name","totalOS"
"2020-11-12","Windows 10",4056
"2021-03-15","Windows 10",4053
"2020-05-18","Windows 10",4049
"2021-02-02","Mac OS X",4047
"2019-10-01","Windows 10",4045
"2017-09-27","Mac OS X",4041
"2016-09-15","Windows 10",4041
"2018-02-27","Mac OS X",4040
"2020-07-28","Mac OS X",4035
"2020-06-15","Windows 10",4028
"2021-05-06","Windows 10",4027
"2017-04-19","Windows 10",4027
"2018-06-06","Mac OS X",4023
"2018-09-26","Windows 10",4022
"2019-10-16","Mac OS X",4022
"2020-06-01","Windows 10",4022
"2021-04-22","Windows 10",4006
"2020-06-08","Windows 10",4002
"2020-05-11","Windows 10",4001
"2021-12-22","Windows 10",4001
"2020-10-08","Windows 10",3997
"2019-12-31","Windows 10",3995
"2020-09-01","Mac OS X",3993
"2019-11-12","Windows 10",3992
"2018-04-10","Windows 10",3989
"2021-03-16","Mac OS X",3986
"2021-01-12","Mac OS X",3985
"2021-06-03","Windows 10",3981
"2020-10-15","Windows 10",3980
"2021-01-05","Mac OS X",3975
"2014-10-29","Windows 7",3975
"2020-10-29","Windows 10",3973
"2019-04-23","Windows 10",3970
"2019-05-08","Windows 10",3969
"2020-08-04","Mac OS X",3968
"2019-02-26","Windows 10",3959
"2020-06-29","Windows 10",3958
"2019-08-21","Mac OS X",3955
"2018-06-20","Mac OS X",3950
"2021-05-12","Mac OS X",3945
"2020-02-27","Windows 10",3945
"2019-12-02","Mac OS X",3942
"2021-02-09","Mac OS X",3940
"2018-04-24","Windows 10",3939
"2021-07-01","Windows 10",3937
"2021-12-02","Windows 10",3937
"2020-07-14","Mac OS X",3935
"2021-03-02","Mac OS X",3933
"2017-09-27","Windows 10",3932
"2021-10-21","Windows 10",3931
"2021-03-22","Windows 10",3929
"2021-01-19","Mac OS X",3929
"2021-05-13","Windows 10",3924
"2021-03-09","Mac OS X",3921
"2018-06-28","Windows 10",3919
"2018-09-19","Mac OS X",3912
"2021-05-27","Windows 10",3911
"2021-06-10","Windows 10",3910
"2021-03-29","Windows 10",3910
"2019-11-13","Mac OS X",3903
"2020-11-05","Windows 10",3902
"2019-10-02","Mac OS X",3899
"2021-04-12","Windows 10",3897
"2021-05-19","Mac OS X",3897
"2018-11-20","Windows 10",3896
"2020-01-16","Windows 10",3889
"2019-11-27","Mac OS X",3888
"2019-09-25","Mac OS X",3885
"2018-12-19","Windows 10",3885
"2020-04-24","Windows 10",3879
"2019-05-09","Mac OS X",3878
"2020-07-21","Mac OS X",3877
"2018-03-13","Windows 10",3874
"2019-07-09","Windows 10",3869
"2018-03-27","Windows 10",3869
